,State,Year,Month,Period,Indicator,Data Value,Percent Complete,Percent Pending Investigation,State Name,Footnote,Footnote Symbol,Predicted Value
26,MT,2019,January,12 month-ending,Number of Drug Overdose Deaths,120,100,0.019829467,Montana,Underreported due to incomplete data.,*,120
27,NC,2019,January,12 month-ending,Number of Drug Overdose Deaths,2225,100,0.305950579,North Carolina,Underreported due to incomplete data.,*,"2,286"
28,ND,2019,January,12 month-ending,Number of Drug Overdose Deaths,63,100,0.085959885,North Dakota,Underreported due to incomplete data.,*,64
29,NE,2019,January,12 month-ending,Number of Drug Overdose Deaths,147,100,0.029220969,Nebraska,Underreported due to incomplete data.,*,147
30,NH,2019,January,12 month-ending,Number of Drug Overdose Deaths,446,100,0.040099447,New Hampshire,Underreported due to incomplete data.,*,446
31,NJ,2019,January,12 month-ending,Number of Drug Overdose Deaths,2819,100,0.201946767,New Jersey,Underreported due to incomplete data.,*,"2,860"
32,NM,2019,January,12 month-ending,Number of Drug Overdose Deaths,513,100,0.22157371399999998,New Mexico,Underreported due to incomplete data.,*,522
33,NV,2019,January,12 month-ending,Number of Drug Overdose Deaths,752,100,0.24425796800000002,Nevada,Underreported due to incomplete data.,*,767
34,NY,2019,January,12 month-ending,Number of Drug Overdose Deaths,2144,100,0.490849169,New York,Underreported due to incomplete data.,*,"2,254"
35,OH,2019,January,12 month-ending,Number of Drug Overdose Deaths,4036,100,0.016234952,Ohio,Underreported due to incomplete data.,*,"4,036"
36,OK,2019,January,12 month-ending,Number of Drug Overdose Deaths,675,100,0.073791349,Oklahoma,Underreported due to incomplete data.,*,675
37,OR,2019,January,12 month-ending,Number of Drug Overdose Deaths,547,100,0.058344678,Oregon,Underreported due to incomplete data.,*,547
38,PA,2019,January,12 month-ending,Number of Drug Overdose Deaths,4403,100,0.19482924699999998,Pennsylvania,Underreported due to incomplete data.,*,"4,463"
39,RI,2019,January,12 month-ending,Number of Drug Overdose Deaths,344,100,0.0,Rhode Island,Underreported due to incomplete data.,*,344
40,SC,2019,January,12 month-ending,Number of Drug Overdose Deaths,1116,100,0.07951232400000001,South Carolina,Underreported due to incomplete data.,*,"1,116"
41,SD,2019,January,12 month-ending,Number of Drug Overdose Deaths,56,100,0.0,South Dakota,Underreported due to incomplete data.,*,56
42,TN,2019,January,12 month-ending,Number of Drug Overdose Deaths,1881,100,0.437159949,Tennessee,Underreported due to incomplete data.,*,"1,964"
43,TX,2019,January,12 month-ending,Number of Drug Overdose Deaths,2968,100,0.211537985,Texas,Underreported due to incomplete data.,*,"3,015"
44,US,2019,January,12 month-ending,Number of Drug Overdose Deaths,67697,100,0.14564075199999998,United States,Underreported due to incomplete data.,*,"68,211"
45,UT,2019,January,12 month-ending,Number of Drug Overdose Deaths,634,100,0.15234292900000002,Utah,Underreported due to incomplete data.,*,640
46,VA,2019,January,12 month-ending,Number of Drug Overdose Deaths,1464,100,0.01474861,Virginia,Underreported due to incomplete data.,*,"1,464"
47,VT,2019,January,12 month-ending,Number of Drug Overdose Deaths,147,100,0.0,Vermont,Underreported due to incomplete data.,*,147
48,WA,2019,January,12 month-ending,Number of Drug Overdose Deaths,1181,100,0.142743854,Washington,Underreported due to incomplete data.,*,"1,190"
49,WI,2019,January,12 month-ending,Number of Drug Overdose Deaths,1081,100,0.088517242,Wisconsin,Underreported due to incomplete data.,*,"1,082"
50,WV,2019,January,12 month-ending,Number of Drug Overdose Deaths,887,100,0.5259900989999999,West Virginia,Underreported due to incomplete data.,*,937
51,WY,2019,January,12 month-ending,Number of Drug Overdose Deaths,60,100,0.06458557599999999,Wyoming,Underreported due to incomplete data.,*,60
52,YC,2019,January,12 month-ending,Number of Drug Overdose Deaths,1456,100,0.055038802000000005,New York City,Underreported due to incomplete data.,*,"1,456"
